Title,Form-factor,Category of BCI,reality factor,neurafictionality,neuroptimism,BCI forecast,Near Future,prediction,,Name of BCI,Image,Cover,Date,Type of Media (tentative),Utopia/Dystopia - tech-wise,Level of invasiveness,Description,Keywords,Author/Directed by,Distributed by,Production Company,Link,Publisher (Novels/Games),Quotes,Notes,Year,Utopia/Dystopia in the media,years since publication,RF: advertisement,RF: communication,RF: consciousness,RF: control of the user,RF: dreams,RF: emotions,RF: knowledge upload,RF: linking,RF: memory,RF: perception,RF: practical,RF: reading thoughts,RF: reality,RF: recording brain activity,RF: rehabilitation,RF: robot/object control,RF: sensation,RF: stimulation,RF: storage,RF: telepathy,RF: termination,RF: tracking,RF: transfer,prediction,BCIF: communication,NF: communication,TO: communication,reality factor check,,,,,,,,,,,,,,Category,reality factor,neurafictionality,neuro-optimism,BCI forecast,,Total Works
Serenity,N/A,"manipulation, telepathy",0.063670412,0.102409639,1.608433735,267,250,2271,,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Serenity_One_Sheet.jpg,5-Jul-05,Movie,"dystopia, utopia",Non-invasive,Telepathic abilities as subliminal messaging to attack other people.,"manipulation, military",Joss Whedon,Universal Pictures,"Barry Mendel Productions, Universal Pictures",,,,,2005,,17,,0.063670412,,,,,,,,0.063670412,,,,,,,0.063670412,,,0.063670412,,,,2271,267,0.102409639,1.608433735,0.063670412,,,,,,,,,,,,,,Storage,0.224539906,0.123804155,0.628264803,108.5652174,,23
Ringworld,"implant, tool",emotions,1,0.258706468,0.258706468,52,0,2021,,Tasp,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Ringworld(1stEd).jpg,5-Jul-70,Novel,dystopia,"Invasive, Non-invasive","The tasp, a device that remotely stimulates the pleasure center of the brain; it temporarily incapacitates its target and is extremely psychologically addictive. If the subject cannot, for whatever reason, get access to the device, intense depression can result, often to the point of madness or suicide. To use a tasp on someone from hiding, relieving them of their anger or depression, is called ""making their day"".","addiction, pleasure",Larry Niven,,,,Ballantine Books,,,1970,,52,,,,,,1,,,,1,,,,,,,,,,,,,,2021,,,,1,,,,,,,,,,,,,,Reality,0.237416636,0.081734262,0.763500457,122.9285714,,14
Mindkiller,implant,emotions,1,0.211640212,0.211640212,40,0,2021,,Wireheading,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Mindkiller.jpg,5-Jul-82,Novel,dystopia,Invasive,"Wireheading is the act of directly triggering the brain's reward center
 by electrical stimulation of an inserted wire, for the purpose of 'short-circuiting' the brain's normal reward process and artificially inducing pleasure. Permanent wireheading is the constant use of which overrides desires for food and drink, used for suicide.",pleasure,Spider Robinson,,,,Holt Rinehart and Winston,,,1982,,40,,,,,,1,,,,1,,,,,,,,,,,,,,2021,,,,1,,,,,,,,,,,,,,Knowledge upload,0.266100894,0.137377681,0.623636288,110.4782609,,46
Donovan’s Brain,brain,"consciousness transfer, control of the user, manipulation, telepathy",0,0,1.677852349,250,250,2271,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/1953_donovans_brain_003-felix-feist-lew-ayres.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/donovanbrain_3.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Donovansbrainposter.jpg,5-Jul-22,Movie,"dystopia, utopia",Non-invasive,Keep the brain alive in an electrified saline solution. After writing messages and exhibiting the personal traits of the person who the brain belonged to - the researcher believes that consciousness still survives.,consciousness,Felix E. Feist,United Artists,Dowling Productions,,,,,2022,,0,,0,0,0,,,,,,0,,,,,,,0,,,0,,,0,2271,250,0,1.677852349,0,,,,,,,,,,,,,,Consciousness,0.206425874,0.140358677,0.878839982,158.5913978,,93
Captain Future,brain,"linking, physical enhancement, robot/object control",0.246987952,0.354978355,1.437229437,332,250,2271,,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Captain_Future_1941_Winter.jpg,5-Jul-40,Novel,"dystopia, utopia",Non-invasive,A brain in a vat that controls a robotic vehicle and non-human arms,robotic control,Edmond Hamilton,,,,,,,1940,,82,,0.246987952,,,,,,0.246987952,,,,,,,,0.246987952,,,,,,,,2271,332,0.354978355,1.437229437,0.246987952,,,,,,,,,,,,,,Dreams,0.303006554,0.114744092,0.544260111,93.78571429,,14
Le Prince Bonaficio,brain,resting,0.393203883,0.520900322,1.324758842,412,250,2271,,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/71soBhDrDL.jpg,"July 5, 1860",Novel,"dystopia, utopia",Non-invasive,Scooping out brains with spoons and putting them in jars to promote ‘rest’.,wellbeing,Louis Ulbach,,,,,"“My brain is in the cylinder, and I see, hear, and speak through these electronic vibrators.”",fun way of putting the brain to rest - using a spoon,1860,,162,,,,,,,,,,,,,,,,,,,,,,,,2271,,,,0.393203883,,,,,,,,,,,,,,Transfer,0.171994933,0.144855082,0.963792755,175.2432432,,74
The Whisperer in the Darkness,brain,brain transfer,0.26686217,0.379166667,1.420833333,341,250,2271,,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/The_Whisperer_in_Darkness_by_Alexander_Moore.jpg,5-Jul-31,Novel,"dystopia, utopia",Non-invasive,Taking a human’s brain and putting in a cylinder where it can live indefinitely,brain transfer,H.P. Lovecraft,,,,,,,1931,,91,,,0.26686217,,,,,,,,,,,,,,,,,,,,0.26686217,2271,,,,0.26686217,,,,,,,,,,,,,,Termination,0.445577897,0.145532721,0.558362591,93.6,,5
The Metal Giants,brain,"brain transfer, control of the user",0.277456647,0.391836735,1.412244898,346,250,2271,,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/51-zsbcqbSL.jpg,5-Jul-26,Novel,"dystopia, utopia",Invasive,"An artificial brain that completely mimicked a biological brain with all of its complex patterns of electrical activity that made it conscious. Furthermore, a concept of an artificial eye is also introduced, a machine with an artificial retina that could transmit electrical pulses to this brain and allow it to see.","brain transfer, manipulation",Edmond Hamilton,,,,,,,1926,,96,,0.277456647,0.277456647,0.277456647,,,,,,,,,,,,,,,,,,,0.277456647,2271,346,0.391836735,1.412244898,0.277456647,,,,,,,,,,,,,,Surveillance,0.602563655,0.227614585,0.554569196,106.4,,67
Frankenstein,brain,"brain transfer, control of the user",0.449339207,0.577903683,1.28611898,454,250,2271,,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Frankenstein_1818_edition_title_page.jpg,"July 5, 1818","Movie, Novel","dystopia, utopia",Invasive,Using a disembodied brain to control another body by wiring it to the body,"brain transfer, manipulation",Mary Shelley,,,,,,,1818,,204,,0.449339207,0.449339207,0.449339207,,,,,,,,,,,,,,,,,,,0.449339207,2271,454,0.577903683,1.28611898,0.449339207,,,,,,,,,,,,,,Recording,0.478869381,0.17764464,0.471543419,90.52,,25
Star Trek: Strange New Worlds,helmet,brain washing,0,0,0.033557047,5,5,2026,,Neural Dampener,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-06-09_at_1.10.27_PM.png,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/images-8.jpeg,28-Jun-22,TV Series,dystopia,Non-invasive,"A neural dampener
 or neural dampening device
 was a device worn on the head ,designed to reduce electrical
 activity in the brain.",brainwash,"Eugene Roddenberry, Jenny Lumet, Trevor Roth",Paramount+,"CBS Studios, H M R X Productions, Roddenberry Entertainment, Secret Hideout, Weed Road Pictures",,,,,2022,,0,,,,,,,,,,,,,,,,,,,,,,,,2026,,,,0,,,,,,,,,,,,,,Tracking,0.545301005,0.175583021,0.438163408,77,,7
Star Trek: Strange New Worlds,"paste, stone",consciousness transfer,0,0,1.342281879,200,200,2221,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_0279.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_0281.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_0282.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_0284.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/images-8.jpeg,28-Jun-22,TV Series,"dystopia, utopia",Non-invasive,"Reversing katric transfer by applying ground Nivallan sea urchin (aquatic animal) paste to the foreheads
of two hosts who swiped bodies. The paste is chosen for its match to the natural electromagnetism
 of Vulcan skin. Then cortical stimulation is applied through a series of crystals placed in the paste, matching the original brain patterns of the host bodies.
","consciousness, mind-sharing","Eugene Roddenberry, Jenny Lumet, Trevor Roth",Paramount+,"CBS Studios, H M R X Productions, Roddenberry Entertainment, Secret Hideout, Weed Road Pictures",,,,,2022,,0,,,0,,,,,,,,,,,,,,,,,,,,0,2221,,,,0,,,,,,,,,,,,,,Advertisement,0.683040151,0.237748557,0.330058636,67,,3
Halo Alpha,implant,"knowledge upload, physical enhancement, tracking",0.512195122,0.123529412,0.241176471,41,20,2041,,Neural Interface,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Neural_interface.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Neural_interface_Reach.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Neural_Interface.jpeg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Fall-o-reach.jpeg,28-Jun-01,"BOOK, TV Series, game","dystopia, utopia",Invasive,"The standard neural interface has basic functions. It acts as a ""friend or foe"" indicator, so that radar signatures will pick up the owner's signature and identify it as friendly. This way, the wearer appears as a ""yellow"" blip on the motion tracker of another soldier's HUD and friendly fire is less likely. It also shows the targeting reticle of the gun chosen. They work only within a limited range, again because its primary purpose is to avoid friendly fire.
The neural interface is implanted at the base of the skull and cannot be removed without killing its owner or through sophisticated surgery. The standard interface is implanted in all UNSC military personnel upon activation, but it can be replaced with a more specialized neural lace should the need arise.
Ship commanders receive command neural interfaces, while the SPARTAN-IIs have received the more specialized Spartan Neural Interface.","access, military, network","Bungie, Joseph Staten",XBox,Microsoft Game Studios,,,,,2001,,21,,,,,,,0.512195122,,,0.512195122,0.512195122,,,,,,,,,,,0.512195122,,2041,,,,0.512195122,,,,,,,,,,,,,,Cerebral defense,0.464537986,0.22615252,0.509145233,103,,7
Halo Alpha,implant,"knowledge upload, linking, physical enhancement",0.173553719,0.123529412,0.711764706,121,100,2121,,Spartan Neural Interface,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Fall-o-reach.jpeg,28-Jun-01,"BOOK, TV Series, game","dystopia, utopia",Invasive,"The Spartan Neural Interface is an upgrade of the standard Neural Interface that is used by the UNSC SPARTAN-II supersoldiers. The Spartan Neural Interface was implanted in the Spartans upon the reception of their MJOLNIR Mark V armor.
It is assumed that, like the Neural Interface from which it is derived, it may not be removed without advanced surgery or killing the host. In addition to the standard functions of a Neural Interface, the Spartan Neural Interface is unique in that it is designed to allow an AI to directly interface with the Spartan's brain. Therefore, the AI is said to reside both inside the armor and inside the wearer's mind. Essentially, it is in both places at once. The interface allows the AI access to most of the suit's internal systems, though the Spartan has override control. The AI is capable of significantly improving the data transfer rate between the motor cortex of the Spartan and the MJOLNIR's processing unit, further improving the Spartan's already lightning-quick reaction time.
The AI Data Crystal Chip is inserted into a socket near the base of the Spartan's skull in the Mjolnir Armor.","access, military, network","Bungie, Joseph Staten",XBox,Microsoft Game Studios,,,,,2001,,21,,0.173553719,,,,,0.173553719,0.173553719,,0.173553719,,,,,,,,,,,,,,2121,121,0.123529412,0.711764706,0.173553719,,,,,,,,,,,,,,,,,,,,
Halo Alpha,hologram,AGI creation,0.173553719,0.123529412,0.711764706,121,100,2121,,Cognitive Impression Modeling,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Fall-o-reach%201.jpeg,28-Jun-01,"BOOK, TV Series, game",dystopia,Invasive,"Cognitive Impression Modeling is a technique used by human
scientists to create Smart artificial intelligences by scanning a human brain, referred to as a donor brain.
As the brain is destroyed in the process, CIM will only be used on the recently deceased or on a flash clone of a living human.","AI, consciousness","Bungie, Joseph Staten",XBox,Microsoft Game Studios,,,,,2001,,21,,,,,,,,,,,,,,,,,,,,,,,,2121,,,,0.173553719,,,,,,,,,,,,,,,,,,,,
Halo,brain liquid,AGI creation,0,0,0.67114094,100,100,2121,,Neural Substrate Acquisition,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-06-28_at_2.51.07_PM.png,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Halo2022TitleCard.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/p21533561_b_v9_aa.jpg",28-Jun-22,"BOOK, TV Series, game","dystopia, utopia",Invasive,"Neural Substrate Acquisition is a technique used by 
scientists to create Smart artificial intelligences by extracting a liquid from a human brain, referred to as a donor brain.
As the brain is destroyed in the process, it will only be used on the recently deceased or on a flash clone of a living human.","AI, consciousness","Kyle Killen, Steven Kane, Steven Spielberg",Paramount Global Distribution Group,"343 Industries, Amblin Television, Chapter Eleven, One Big Picture, Showtime Networks",,,,,2022,,0,,,,,,,,,,,,,,,,,,,,,,,,2121,,,,0,,,,,,,,,,,,,,,,,,,,
Halo,"chair, stand-alone electrodes","XR, projection",0,0,0.67114094,100,100,2121,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-06-28_at_6.09.14_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-06-28_at_6.09.23_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-06-28_at_6.10.06_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-04-28_at_5.35.23_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-04-28_at_5.38.26_PM.png","Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Halo2022TitleCard.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/p21533561_b_v9_aa.jpg",28-Jun-22,"BOOK, TV Series, game","dystopia, utopia",Non-invasive,"Astral projection technology, which places the wearer in the room, visible only to one another, as they both lie on a chair.",telepresence,"Kyle Killen, Steven Kane, Steven Spielberg",Paramount Global Distribution Group,"343 Industries, Amblin Television, Chapter Eleven, One Big Picture, Showtime Networks",,,,,2022,,0,,,,,,,,,,0,,,0,,,,,,,,,,,2121,,,,0,,,,,,,,,,,,,,,,,,,,
Halo,stand-alone electrodes,"health monitoring, recording brain activity",0,0,0.67114094,100,100,2121,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-04-28_at_6.17.58_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-06-28_at_5.57.49_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-06-28_at_5.58.32_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-06-28_at_5.58.56_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-06-28_at_5.59.31_PM.png","Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Halo2022TitleCard.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/p21533561_b_v9_aa.jpg",28-Jun-22,"BOOK, TV Series, game","dystopia, utopia",Non-invasive,Electrodes placed on t he temples and/or neck to monitor vitals including brain activity.,healthcare,"Kyle Killen, Steven Kane, Steven Spielberg",Paramount Global Distribution Group,"343 Industries, Amblin Television, Chapter Eleven, One Big Picture, Showtime Networks",,,,,2022,,0,,,,,,,,,,,0,,,0,,,,,,,,,,2121,,,,0,,,,,,,,,,,,,,,,,,,,
Halo,"brain liquid, implant","AGI creation, control of the user, knowledge upload, linking, manipulation, physical enhancement",0,0,0.67114094,100,100,2121,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-06-28_at_2.48.23_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-06-28_at_2.48.35_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-06-28_at_2.48.54_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-06-28_at_2.51.27_PM.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/p21533561_b_v9_aa.jpg,28-Jun-22,"BOOK, TV Series, game","dystopia, utopia",Invasive,A surgery of implanting Neural Substrate in a living brain of a soldier to create Smart artificial intelligences (AI) which reside within him. The AI can shut down the soldier’s brain.,"AI, consciousness, military","Kyle Killen, Steven Kane, Steven Spielberg",Paramount Global Distribution Group,"343 Industries, Amblin Television, Chapter Eleven, One Big Picture, Showtime Networks",,,,,2022,,0,,0,,0,,,0,0,,0,,,,,,,0,,,,,,,2121,100,0,0.67114094,0,,,,,,,,,,,,,,,,,,,,
