Title,Name of BCI,Form-factor,Category of BCI,Date,Type of Media (tentative),Utopia/Dystopia - tech-wise,Level of invasiveness,reality factor,neurafictionality,neuroptimism,BCI forecast,Description,Keywords,Author/Directed by,Distributed by,Production Company,Near Future,Year,Utopia/Dystopia in the media,years since publication,prediction
Halo Alpha,Neural Interface,implant,"knowledge upload, physical enhancement, tracking",28-Jun-01,"BOOK, TV Series, game","dystopia, utopia",Invasive,0.512195122,0.123529412,0.241176471,41,"The standard neural interface has basic functions. It acts as a ""friend or foe"" indicator, so that radar signatures will pick up the owner's signature and identify it as friendly. This way, the wearer appears as a ""yellow"" blip on the motion tracker of another soldier's HUD and friendly fire is less likely. It also shows the targeting reticle of the gun chosen. They work only within a limited range, again because its primary purpose is to avoid friendly fire.
The neural interface is implanted at the base of the skull and cannot be removed without killing its owner or through sophisticated surgery. The standard interface is implanted in all UNSC military personnel upon activation, but it can be replaced with a more specialized neural lace should the need arise.
Ship commanders receive command neural interfaces, while the SPARTAN-IIs have received the more specialized Spartan Neural Interface.","access, military, network","Bungie, Joseph Staten",XBox,Microsoft Game Studios,20,2001,,21,2041
Halo Alpha,Spartan Neural Interface,implant,"knowledge upload, linking, physical enhancement",28-Jun-01,"BOOK, TV Series, game","dystopia, utopia",Invasive,0.173553719,0.123529412,0.711764706,121,"The Spartan Neural Interface is an upgrade of the standard Neural Interface that is used by the UNSC SPARTAN-II supersoldiers. The Spartan Neural Interface was implanted in the Spartans upon the reception of their MJOLNIR Mark V armor.
It is assumed that, like the Neural Interface from which it is derived, it may not be removed without advanced surgery or killing the host. In addition to the standard functions of a Neural Interface, the Spartan Neural Interface is unique in that it is designed to allow an AI to directly interface with the Spartan's brain. Therefore, the AI is said to reside both inside the armor and inside the wearer's mind. Essentially, it is in both places at once. The interface allows the AI access to most of the suit's internal systems, though the Spartan has override control. The AI is capable of significantly improving the data transfer rate between the motor cortex of the Spartan and the MJOLNIR's processing unit, further improving the Spartan's already lightning-quick reaction time.
The AI Data Crystal Chip is inserted into a socket near the base of the Spartan's skull in the Mjolnir Armor.","access, military, network","Bungie, Joseph Staten",XBox,Microsoft Game Studios,100,2001,,21,2121
Halo Alpha,Cognitive Impression Modeling,hologram,AGI creation,28-Jun-01,"BOOK, TV Series, game",dystopia,Invasive,0.173553719,0.123529412,0.711764706,121,"Cognitive Impression Modeling is a technique used by human
scientists to create Smart artificial intelligences by scanning a human brain, referred to as a donor brain.
As the brain is destroyed in the process, CIM will only be used on the recently deceased or on a flash clone of a living human.","AI, consciousness","Bungie, Joseph Staten",XBox,Microsoft Game Studios,100,2001,,21,2121
Halo,Neural Substrate Acquisition,brain liquid,AGI creation,28-Jun-22,"BOOK, TV Series, game","dystopia, utopia",Invasive,0,0,0.67114094,100,"Neural Substrate Acquisition is a technique used by 
scientists to create Smart artificial intelligences by extracting a liquid from a human brain, referred to as a donor brain.
As the brain is destroyed in the process, it will only be used on the recently deceased or on a flash clone of a living human.","AI, consciousness","Kyle Killen, Steven Kane, Steven Spielberg",Paramount Global Distribution Group,"343 Industries, Amblin Television, Chapter Eleven, One Big Picture, Showtime Networks",100,2022,,0,2121
Halo,,"chair, stand-alone electrodes","XR, projection",28-Jun-22,"BOOK, TV Series, game","dystopia, utopia",Non-invasive,0,0,0.67114094,100,"Astral projection technology, which places the wearer in the room, visible only to one another, as they both lie on a chair.",telepresence,"Kyle Killen, Steven Kane, Steven Spielberg",Paramount Global Distribution Group,"343 Industries, Amblin Television, Chapter Eleven, One Big Picture, Showtime Networks",100,2022,,0,2121
Halo,,stand-alone electrodes,"health monitoring, recording brain activity",28-Jun-22,"BOOK, TV Series, game","dystopia, utopia",Non-invasive,0,0,0.67114094,100,Electrodes placed on t he temples and/or neck to monitor vitals including brain activity.,healthcare,"Kyle Killen, Steven Kane, Steven Spielberg",Paramount Global Distribution Group,"343 Industries, Amblin Television, Chapter Eleven, One Big Picture, Showtime Networks",100,2022,,0,2121
Halo,,"brain liquid, implant","AGI creation, control of the user, knowledge upload, linking, manipulation, physical enhancement",28-Jun-22,"BOOK, TV Series, game","dystopia, utopia",Invasive,0,0,0.67114094,100,A surgery of implanting Neural Substrate in a living brain of a soldier to create Smart artificial intelligences (AI) which reside within him. The AI can shut down the soldier’s brain.,"AI, consciousness, military","Kyle Killen, Steven Kane, Steven Spielberg",Paramount Global Distribution Group,"343 Industries, Amblin Television, Chapter Eleven, One Big Picture, Showtime Networks",100,2022,,0,2121
Halo Alpha,Command Neural Interface,implant,"knowledge upload, linking, storage",28-Jun-04,"BOOK, TV Series, game","dystopia, utopia",Invasive,0.152542373,0.107784431,0.706586826,118,"Command Neural Interface or CNI implants are implanted in the brain of every UNSC ship commander. In addition to the duties of a standard Neural Interface, they also have several purposes specific to a ship commander.
Once installed, they cannot be removed without killing the host or doing permanent damage to the host's brain without sophisticated surgery that is designed for this purpose. Their main use is the storage of data codes, NAV data, and also for receiving telemetry from outside sources. AIs can access the lace with the owner's consent and retrieve data for use. The owner of the lace can also receive data about the ship they command, sent directly to their retinas courtesy of the shipboard AI.","access, military, network","Bungie, Joseph Staten",XBox,Microsoft Game Studios,100,2004,,18,2121
Dr. Brain,Brain Sync,helmet,"linking, memory",25-Jun-21,"TV Series, webtoon","dystopia, utopia",Non-invasive,0.00990099,0.006666667,0.673333333,101,Hacking into the brains of the deceased in order to go through their memories to solve their murders,memories,"Hongjacga, Kim Jee-woon, Kim Jin A, Koh YoungJae",Apple Inc.,"Bound Entertainment, Dark Circle Pictures, Kakao Entertainment, StudioPlex",100,2021,,1,2121
Tales of the Unusual,Marriage Simulation System,helmet,reality,14-Mar-00,Movie,"dystopia, utopia",Non-invasive,0.127906977,0.128654971,1.005847953,172,"Virtual reality simulation machine that projects prediction of the marriage between two people into their brain. It is watched as a movie. The creators of the machine warn the couples that the final ‘rendering’, ‘movie’ - is not final version of the events as it can change based on one’s feelings and actions.",VR,"Hisao Ogura, Mamoru Hoshi, Masayuki Ochiai, Masayuki Suzuki",Toho,"Fuji Television, Pony Canyon, Toho (Japan)",150,2000,,22,2171
"America Dad, Who Smarted",,"deep brain stimulation, implant",knowledge upload,10-Mar-21,sitcom,"dystopia, utopia",Invasive,0.006622517,0.006666667,1.006666667,151,A procedure to increase intelligence levels. The effect can be voided by smoking weed.,"enhancement, knowledge","Joe Chandler, Matt Weitzman, Mike Barker, Nic Wegener, Seth MacFarlane, Zachary Rosenblatt",20th Television,"20th Television, 20th Television Animation, Fuzzy Door Productions, Underdog Productions",150,2021,,1,2171
Guardians,,implant,"exoskeleton, generating electricity, robot/object control",10-Mar-17,Movie,"dystopia, utopia",Invasive,0.024390244,0.032467532,1.331168831,205,Repair of a damaged body into a cyborg with a brain implant which gives the power to generate electricity and control machines.,"military, violence","Andrei Gavrilov, Sarik Andreasyan",Turbo Films,"Argunov Studio, Enjoy Movies, Renovatio",200,2017,,5,2221
InControl,,stand-alone electrodes,"control of the user, manipulation",10-Mar-17,Movie,dystopia,Non-invasive,0.032258065,0.032467532,1.006493506,155,"Device that allows to take control of others’ bodies, and experience the world through someone else",manipulation,Kurtis David Harder,,"Digital Interference Productions, Umbrella Collective Films",150,2017,,5,2171
"Futurama, Fun on a Bun",,tool,memory,10-Mar-12,sitcom,"dystopia, utopia",Non-invasive,0.074074074,0.062893082,0.849056604,135,machine looking like hair color processor used to delete one’s explicit memories about someone,memories,"Dan Vebber, Stephen Sandoval",20th Television,"20th Television, The Curiosity Company",125,2012,,10,2146
Solar Opposites,Memory Zapper,gun,memory,10-Mar-21,sitcom,"dystopia, utopia",Non-invasive,0.007936508,0.006666667,0.84,126,Tool to erase memories,memories,"Anthony Chun, J. Michael Mendel, Josh Bycel, Justin Roiland, Mike McMahan, Sydney Ryan",Disney Platform Distribution,"20th Television, 20th Television Animation, Important Science, Justin Roiland's Solo Vanity Card Productions!",125,2021,,1,2146
Chaos Walking ,Noise,virus,reading thoughts,10-Mar-08,"Movie, Novel","dystopia, utopia",Non-invasive,0.21875,0.085889571,0.392638037,64,"Noise, a virus which causes everyone to see and hear each other's thoughts",telepathy,"Doug Liman, Patrick Ness",Lionsgate,"3 Arts Entertainment, Allison Shearmur Productions, Hercules Film Fund-Bron Creative, Quadrant Pictures, TIK Films",50,2008,,14,2071
"Game of Tones, Futurama",Thoughtspike,tool,"communication, reading thoughts",10-Mar-13,sitcom,"dystopia, utopia",Semi-invasive,0.473684211,0.056962025,0.120253165,19,"Thoughtspikes appear to be disposable devices that allow the user to communicate without speaking. Thoughtspikes are pointed on one end, and grow into a larger, trumpet-like shape at the other end. To use, you put the pointy end into your forehead, and it speaks your thoughts through the other end (though it has only been seen translating thoughts into English, it may be able to translate thoughts into any language).",communication,"Edmund Fong, Michael Rowe",20th Television,"20th Television, The Curiosity Company",10,2013,,9,2031
Doom Patrol,Mento-Helmet,helmet,"reading thoughts, telepathy",10-Mar-64,comics,"dystopia, utopia",Non-invasive,0.852941176,0.280193237,0.328502415,68,"A helmet that amplifies one’s own latent psychic powers. While wearing the helmet, Mento has the powers of telepathy, psychokinesis, intangibility, and limited mind control. The helmet has the negative side effect of increasing Mento 's paranoia and dementia. ",telepathy,"Arnold Drake, Bob Haney, Bruno Premiani",,,10,1964,,58,2031
The Matrix Resurrections,,"implant, tank with water","XR, consciousness transfer, reality",10-Mar-21,Movie,"dystopia, utopia",Invasive,0.006622517,0.006666667,1.006666667,151,"transfer of the mind of a person from Matrix to real world without use of a pill, another human brain is needed for this procedure",consciousness,"Grant Hill, James McTeigue, Lana Wachowski",Warner Bros. Pictures,"Venus Castina Productions, Village Roadshow Pictures, Warner Bros. Pictures",150,2021,,1,2171
Spiderman: No Way Home,Electro,,"robot/object control, telepathy",1-Jan-21,Movie,"dystopia, utopia",Non-invasive,0.006622517,0.006666667,1.006666667,151,"Electro made Spider-Man beg by stimulating the bioelectric currents in his brain, and was able to defeat Nate Grey
 by manipulating said currents in Nate's brain to turn his own psionic powers against him. Electro can override any electrically powered device and manipulate it according to his mental commands.",telepathy,"Amy Pascal, Kevin Feige",Sony Pictures Releasing,"Columbia Pictures, Marvel Studios, Pascal Pictures",150,2021,,1,2171
Futurama,,tool,reading thoughts,17-Nov-09,sitcom,dystopia,Non-invasive,0.342105263,0.080246914,0.234567901,38,"""Legion of Mad Fellows"", a secret society of tinfoil hat-wearing telepaths",telepathy,"Claudia Katz, Lee Supercinski",20th Century Fox,"Rough Draft Studios, The Curiosity Company",25,2009,,13,2046
The Beyond,Human 2.0,exoskeleton,consciousness transfer,17-Nov-17,Movie,"dystopia, utopia",Invasive,0.047619048,0.032467532,0.681818182,105,Human 2.0 was designed to fuse human brains with synthetic bodies to create more robust soldiers.,"consciousness, military",Hasraf Dulull,Gravitas Ventures,,100,2017,,5,2121
Æon Flux,,drug,telepathy,17-Nov-05,"Movie, TV Series",utopia,Non-invasive,0.253731343,0.102409639,0.403614458,67,drug-pill used for telepathic connection ,telepathy,"David Gale, Gale Anne Hurd, Gary Lucchesi, Greg Goodman, Peter Chung",Paramount Pictures,"Lakeshore Entertainment, MTV Films, Valhalla Motion Pictures",50,2005,,17,2071
The 5th Wave,,tool,recording brain activity,17-Nov-16,Movie,dystopia,Non-invasive,0.375,0.038709677,0.103225806,16,scanner used to detect if the person is infected with the alien ,distance interfacing,"Graham King, Lynn Harris, Matthew Plouffe, Tobey Maguire",Sony Pictures Releasing,"Columbia Pictures, GK Films, LStar Capital, Living Films, Material Pictures",10,2016,,6,2031
Futurama,,"implant, tool",emotions,17-Nov-03,sitcom,"dystopia, utopia",Invasive,1,0.113095238,0.113095238,19,measuring engagement of the audience while they watch TV show,"emotions, engagement","David X. Cohen, Ken Keeler, Matt Groening",20th Television,"20th Century Fox Television, Rough Draft Studios, The Curiosity Company",0,2003,,19,2021
Foundation ,,implant,linking,17-Nov-21,TV Series,"dystopia, utopia",Invasive,0.090909091,0.006666667,0.073333333,11,The navigator's brain had to be hardwired into the ship via an implant and could direct a jump with a wish.,piloting,"Dana Goldberg, David Ellison, David S. Goyer",Apple Inc.,"Phantom Four, Skydance Television",10,2021,,1,2031
American Dad,Memory Neutralizer,tool,memory,9-Nov-16,sitcom,dystopia,non-contact,0.045801527,0.038709677,0.84516129,131,It has the ability to wipe the mind of anybody who sees the flash via isolating and editing certain electronic impulses related to memory. ,memories,"Matt Weitzman, Seth MacFarlane","Disney-ABC, TBS","20th Television, Fuzzy Door Productions, Underdog Productions",125,2016,,6,2146
American Dad,,tool,emotions,9-Nov-19,sitcom,"dystopia, utopia","Non-invasive, non-contact",0.130434783,0.019736842,0.151315789,23,Machine that scans your brain to detect a perfect type of weed for your personality ,,"Matt Weitzman, Seth MacFarlane","Disney-ABC, TBS","20th Television, Fuzzy Door Productions, Underdog Productions",20,2019,,3,2041
American Dad,,helmet,consciousness transfer,9-Nov-09,sitcom,dystopia,Non-invasive,0.041533546,0.080246914,1.932098765,313,The mind-swap program of CIA: consciousness transfer tool used a lot on animals to make them cute and make them spy for the government,consciousness,"Matt Weitzman, Mike Barker, Seth MacFarlane","Disney-ABC, Fox","20th Television, Fuzzy Door Productions, Underdog Productions",300,2009,,13,2321
Warehouse 13,Neural Assessor,helmet,recording brain activity,17-Oct-10,TV Series,"dystopia, utopia",Non-invasive,0.193548387,0.074534161,0.385093168,62,"Monitors a person's brainwaves and tracks the degree to which a person's brain capacity (in the case of the episode, Mrs Frederic's) is affected by an external artifact or psychic connection.",distance interfacing,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions,50,2010,,12,2071
Warehouse 13,H.G. Wells' Time Machine,"helmet, tool",consciousness transfer,17-Oct-10,TV Series,"dystopia, utopia",Non-invasive,0.011857708,0.074534161,6.285714286,1012,"the time machine is a ""temporal consciousness transfer engine"". It has a rather psychometric effect, allowing the user to inhabit the body of someone in the past, specifically for 22 hours and 19 minutes. H.G. Wells' Time Machine is not, as in her novel, a physical transport device carrying the user(s) back (or forwards) in time, rather it is based on Gestalt psychology principles, and employs the ""web"" of the collective unconscious to allow the user to target and inhabit a known individual at a specific time in the past. The maximum duration of the trip through time is 22 hours and 19 minutes; as soon as this time is over the user(s) return to their own bodies in their own time period. However, if the time machine is damaged while in use the user(s) consciousnesses will be lost forever as soon as time runs out.",consciousness,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions,1000,2010,,12,3021
Warehouse 13,Max Wertheimer's Zoetrope,Zoetrope,consciousness transfer,17-Oct-10,TV Series,dystopia,non-contact,0.045801527,0.074534161,1.627329193,262,"A Zoetrope that once belonged to Max Wertheimer which possesses mind transferring capabilities. The Zoetrope creates a moving image of a couple dancing. When the Zoetrope spins clockwise, the mind of a person viewing the moving picture imprints into the Zoetrope. A second person can then view the imprint by touching the Zoetrope, or reverse the process by spinning it counter-clockwise. If the Zoetrope is physically attached to an adequate vessel, it will dump the user's mind into it instead of just imprinting. Hugo Miller used the zoetrope when he built the ""AI"" for Warehouse 13. He hooked the zoetrope up to the computer system and attempted to imprint himself on the computer. He only partially succeeded, in that the left half of his brain made the transfer, leaving only the right in his body. The Warehouse agents reversed the process, reintegrating the physical Hugo with the virtual Hugo. Real-world connections
Max Wertheimer is considered one of the founders of modern psychology. Apocryphally, it's told that Wertheimer made his first studies using a motion picture toy called a zoetrope.",consciousness,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions,250,2010,,12,2271
Warehouse 13,Pearl of Wisdom,pearl,"control of the user, manipulation, reading thoughts",17-Oct-09,TV Series,dystopia,Invasive,0.061032864,0.080246914,1.314814815,213,"The user places the Pearl in the ear of an intended victim, where it attaches to the inner ear. The process induces terrible nightmares in the victim, and once attached, allows the person who placed the Pearl to control the thoughts and actions of the victim. The Pearl can only be removed by bringing the victim to the point of death, whereupon the Pearl detaches itself from the victim's brain and rolls out of the ear canal. The Pearl can be manipulated by a large, unnamed Amber Orb to explore the memories of the person with the Pearl in their ear.","brainwash, manipulation","David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions,200,2009,,13,2221
"Warehouse 13, Pilot",Lucrezia Borgia's comb,hair tool,control of the user,12-Oct-09,TV Series,dystopia,Non-invasive,0.061032864,0.080246914,1.314814815,213,"Lucrezia Borgia's Comb was created by an unidentified Renaissance alchemist. It transmits the mindset of Lucrezia Borgia via the crystals and ionized metal of the comb and grants the user mind controlling abilities, though at the price of great personal jealousy and anger. The comb also uses a phonetic trigger written in Italian: Se li uomini sapessino le cagioni della paura mia, capir potrebbero il mio dolor (which translates to: if people knew the reasons for my fear, they'd be able to understand my pain). This comb comes with a book-shaped jewellery box, within which the phonetic trigger can be found. Whoever the comb takes control of, it makes that person have a deep yearning to be loved, just like Lucrezia had. However, the wearer will do anything to obtain love, and usually begins a bloody reign of terror and destruction. The comb also has mind control powers; when the user reads the trigger aloud, the comb releases a bright light that alters the brain chemistry of anybody that sees it and essentially brainwashes them. The indicator that a person is brainwashed is that they keep repeating the trigger. The wearer will have a hole in their heart that will be filled after everybody everywhere is in love with them or is dead. If the comb is neutralized, light seems to shoot out of its victims and return to it and all the comb's victims have no idea what they did or what happened.",manipulation,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions,200,2009,,13,2221
"Warehouse 13, Implosion",Ice Flower,firework,control of the user,12-Oct-09,TV Series,dystopia,non-contact,0.565217391,0.080246914,0.141975309,23,"Ice Flower: A 14th century Chinese firework that when it explodes, it releases a sustaining pattern of light that mesmerizes those who see it and triggers a feedback loop in the optic nerve which results in people not remembering anything during the approximate 10 minutes in which it lasts.","manipulation, memories","David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions,10,2009,,13,2031
"Warehouse 13, Resonance",Euphoria Record,audio recording,"control of the user, emotions",12-Oct-09,TV Series,dystopia,non-contact,0.565217391,0.080246914,0.141975309,23,"Euphoria Record - a vinyl record, recorded by composer Eric Marsden. The tonality of the music, combined with the proper resonance, causes intense feelings of joy and euphoria in the listener, so extreme that they are briefly incapacitated. The effects can be blocked with headphones or earplugs.","emotions, pleasure","David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions,10,2009,,13,2031
American Dad,,headphones,memory,5-Oct-14,sitcom,"dystopia, utopia",Non-invasive,0.137931034,0.050955414,0.369426752,58,Recording memories of the user to reconstruct them in a hologramdeck for training purposes,memories,"Mike Barker, Seth MacFarlane",20th Television,"Fuzzy Door Productions, Underdog Productions",50,2014,,8,2071
Black Mirror,Infinity,implant,"XR, consciousness transfer",5-Oct-17,TV Series,dystopia,Invasive,0.090909091,0.032467532,0.357142857,55,"Infinity is a virtual reality simulation game similar to what’s seen in other “Black Mirror” episodes like “Playtest” and “San Junipero.” Users access the game through neural devices that take their consciousness straight into the game. They then feel like they are living in the virtual world while their physical bodies are shut down and unresponsive. Unlike other versions of the tech in “Black Mirror,” though, there doesn’t seem to be the need for a physical implant into the brain for Infinity to work.
Another aspect of Infinity is that it seems possible for a consciousness to get trapped in the game world, and for issues with the interface to actually damage the brain of or kill a user.","XR, consciousness, gaming",Charlie Brooker,Netflix,House of Tomorrow,50,2017,,5,2071
